PRODUCTID,PRODUCTNDC,PRODUCTTYPENAME,PROPRIETARYNAME,PROPRIETARYNAMESUFFIX,NONPROPRIETARYNAME,DOSAGEFORMNAME,ROUTENAME,STARTMARKETINGDATE,ENDMARKETINGDATE,MARKETINGCATEGORYNAME,APPLICATIONNUMBER,LABELERNAME,SUBSTANCENAME,ACTIVE_NUMERATOR_STRENGTH,ACTIVE_INGRED_UNIT,PHARM_CLASSES,DEASCHEDULE
0002-3229_324a23e9-1d68-42ba-8643-85cb35d45e5d,0002-3229,HUMAN PRESCRIPTION DRUG,Strattera,,Atomoxetine hydrochloride,CAPSULE,ORAL,20021126,,NDA,NDA021411,Eli Lilly and Company,ATOMOXETINE HYDROCHLORIDE,40,mg/1,"Norepinephrine Reuptake Inhibitor [EPC],Norepinephrine Uptake Inhibitors [MoA]",
0002-3230_7de92fb4-d903-4b94-a776-f9b083fd363c,0002-3230,HUMAN PRESCRIPTION DRUG,Symbyax,,Olanzapine and Fluoxetine hydrochloride,CAPSULE,ORAL,20070409,,NDA,NDA021520,Eli Lilly and Company,OLANZAPINE; FLUOXETINE HYDROCHLORIDE,3; 25,mg/1; mg/1,"Atypical Antipsychotic [EPC],Serotonin Reuptake Inhibitor [EPC],Serotonin Uptake Inhibitors [MoA]",
0002-3231_7de92fb4-d903-4b94-a776-f9b083fd363c,0002-3231,HUMAN PRESCRIPTION DRUG,Symbyax,,Olanzapine and Fluoxetine hydrochloride,CAPSULE,ORAL,20031224,,NDA,NDA021520,Eli Lilly and Company,OLANZAPINE; FLUOXETINE HYDROCHLORIDE,6; 25,mg/1; mg/1,"Atypical Antipsychotic [EPC],Serotonin Reuptake Inhibitor [EPC],Serotonin Uptake Inhibitors [MoA]",
0002-3232_7de92fb4-d903-4b94-a776-f9b083fd363c,0002-3232,HUMAN PRESCRIPTION DRUG,Symbyax,,Olanzapine and Fluoxetine hydrochloride,CAPSULE,ORAL,20031224,,NDA,NDA021520,Eli Lilly and Company,OLANZAPINE; FLUOXETINE HYDROCHLORIDE,12; 25,mg/1; mg/1,"Atypical Antipsychotic [EPC],Serotonin Reuptake Inhibitor [EPC],Serotonin Uptake Inhibitors [MoA]",
0002-3233_7de92fb4-d903-4b94-a776-f9b083fd363c,0002-3233,HUMAN PRESCRIPTION DRUG,Symbyax,,Olanzapine and Fluoxetine hydrochloride,CAPSULE,ORAL,20031224,,NDA,NDA021520,Eli Lilly and Company,OLANZAPINE; FLUOXETINE HYDROCHLORIDE,6; 50,mg/1; mg/1,"Atypical Antipsychotic [EPC],Serotonin Reuptake Inhibitor [EPC],Serotonin Uptake Inhibitors [MoA]",
0002-3234_7de92fb4-d903-4b94-a776-f9b083fd363c,0002-3234,HUMAN PRESCRIPTION DRUG,Symbyax,,Olanzapine and Fluoxetine hydrochloride,CAPSULE,ORAL,20031224,,NDA,NDA021520,Eli Lilly and Company,OLANZAPINE; FLUOXETINE HYDROCHLORIDE,12; 50,mg/1; mg/1,"Atypical Antipsychotic [EPC],Serotonin Reuptake Inhibitor [EPC],Serotonin Uptake Inhibitors [MoA]",
0002-3235_16857985-b2a3-4db7-9dad-afde7ec557f9,0002-3235,HUMAN PRESCRIPTION DRUG,Cymbalta,,Duloxetine hydrochloride,"CAPSULE, DELAYED RELEASE",ORAL,20040824,,NDA,NDA021427,Eli Lilly and Company,DULOXETINE HYDROCHLORIDE,20,mg/1,"Norepinephrine Uptake Inhibitors [MoA],Serotonin and Norepinephrine Reuptake Inhibitor [EPC],Serotonin Uptake Inhibitors [MoA]",
0002-3238_324a23e9-1d68-42ba-8643-85cb35d45e5d,0002-3238,HUMAN PRESCRIPTION DRUG,Strattera,,Atomoxetine hydrochloride,CAPSULE,ORAL,20021126,,NDA,NDA021411,Eli Lilly and Company,ATOMOXETINE HYDROCHLORIDE,18,mg/1,"Norepinephrine Reuptake Inhibitor [EPC],Norepinephrine Uptake Inhibitors [MoA]",
0002-3239_324a23e9-1d68-42ba-8643-85cb35d45e5d,0002-3239,HUMAN PRESCRIPTION DRUG,Strattera,,Atomoxetine hydrochloride,CAPSULE,ORAL,20021126,,NDA,NDA021411,Eli Lilly and Company,ATOMOXETINE HYDROCHLORIDE,60,mg/1,"Norepinephrine Reuptake Inhibitor [EPC],Norepinephrine Uptake Inhibitors [MoA]",
0002-3240_16857985-b2a3-4db7-9dad-afde7ec557f9,0002-3240,HUMAN PRESCRIPTION DRUG,Cymbalta,,Duloxetine hydrochloride,"CAPSULE, DELAYED RELEASE",ORAL,20040824,,NDA,NDA021427,Eli Lilly and Company,DULOXETINE HYDROCHLORIDE,30,mg/1,"Norepinephrine Uptake Inhibitors [MoA],Serotonin and Norepinephrine Reuptake Inhibitor [EPC],Serotonin Uptake Inhibitors [MoA]",
0002-3250_324a23e9-1d68-42ba-8643-85cb35d45e5d,0002-3250,HUMAN PRESCRIPTION DRUG,Strattera,,Atomoxetine hydrochloride,CAPSULE,ORAL,20050214,,NDA,NDA021411,Eli Lilly and Company,ATOMOXETINE HYDROCHLORIDE,80,mg/1,"Norepinephrine Reuptake Inhibitor [EPC],Norepinephrine Uptake Inhibitors [MoA]",
0002-3251_324a23e9-1d68-42ba-8643-85cb35d45e5d,0002-3251,HUMAN PRESCRIPTION DRUG,Strattera,,Atomoxetine hydrochloride,CAPSULE,ORAL,20050214,,NDA,NDA021411,Eli Lilly and Company,ATOMOXETINE HYDROCHLORIDE,100,mg/1,"Norepinephrine Reuptake Inhibitor [EPC],Norepinephrine Uptake Inhibitors [MoA]",
0002-3270_16857985-b2a3-4db7-9dad-afde7ec557f9,0002-3270,HUMAN PRESCRIPTION DRUG,Cymbalta,,Duloxetine hydrochloride,"CAPSULE, DELAYED RELEASE",ORAL,20100115,,NDA,NDA021427,Eli Lilly and Company,DULOXETINE HYDROCHLORIDE,60,mg/1,"Norepinephrine Uptake Inhibitors [MoA],Serotonin and Norepinephrine Reuptake Inhibitor [EPC],Serotonin Uptake Inhibitors [MoA]",
0002-4112_fc834175-f01d-430f-9e61-3c7af669ba4b,0002-4112,HUMAN PRESCRIPTION DRUG,Zyprexa,,Olanzapine,TABLET,ORAL,19970623,,NDA,NDA020592,Eli Lilly and Company,OLANZAPINE,2.5,mg/1,Atypical Antipsychotic [EPC],
0002-4115_fc834175-f01d-430f-9e61-3c7af669ba4b,0002-4115,HUMAN PRESCRIPTION DRUG,Zyprexa,,Olanzapine,TABLET,ORAL,19961001,,NDA,NDA020592,Eli Lilly and Company,OLANZAPINE,5,mg/1,Atypical Antipsychotic [EPC],
0002-4116_fc834175-f01d-430f-9e61-3c7af669ba4b,0002-4116,HUMAN PRESCRIPTION DRUG,Zyprexa,,Olanzapine,TABLET,ORAL,19961001,,NDA,NDA020592,Eli Lilly and Company,OLANZAPINE,7.5,mg/1,Atypical Antipsychotic [EPC],
0002-4117_fc834175-f01d-430f-9e61-3c7af669ba4b,0002-4117,HUMAN PRESCRIPTION DRUG,Zyprexa,,Olanzapine,TABLET,ORAL,19961001,,NDA,NDA020592,Eli Lilly and Company,OLANZAPINE,10,mg/1,Atypical Antipsychotic [EPC],
0002-4165_b2ed517f-fb63-4558-af19-996810ef637c,0002-4165,HUMAN PRESCRIPTION DRUG,Evista,,Raloxifene hydrochloride,TABLET,ORAL,19980106,,NDA,NDA020815,Eli Lilly and Company,RALOXIFENE HYDROCHLORIDE,60,mg/1,"Estrogen Agonist/Antagonist [EPC],Selective Estrogen Receptor Modulators [MoA]",
0002-4184_b2ed517f-fb63-4558-af19-996810ef637c,0002-4184,HUMAN PRESCRIPTION DRUG,Evista,,Raloxifene hydrochloride,TABLET,ORAL,19980106,,NDA,NDA020815,Eli Lilly and Company,RALOXIFENE HYDROCHLORIDE,60,mg/1,"Estrogen Agonist/Antagonist [EPC],Selective Estrogen Receptor Modulators [MoA]",
0002-4415_fc834175-f01d-430f-9e61-3c7af669ba4b,0002-4415,HUMAN PRESCRIPTION DRUG,Zyprexa,,Olanzapine,TABLET,ORAL,20000110,,NDA,NDA020592,Eli Lilly and Company,OLANZAPINE,15,mg/1,Atypical Antipsychotic [EPC],
0002-4420_fc834175-f01d-430f-9e61-3c7af669ba4b,0002-4420,HUMAN PRESCRIPTION DRUG,Zyprexa,,Olanzapine,TABLET,ORAL,20010301,,NDA,NDA020592,Eli Lilly and Company,OLANZAPINE,20,mg/1,Atypical Antipsychotic [EPC],
0002-4453_fc834175-f01d-430f-9e61-3c7af669ba4b,0002-4453,HUMAN PRESCRIPTION DRUG,ZYPREXA,Zydis,Olanzapine,"TABLET, ORALLY DISINTEGRATING",ORAL,20000601,,NDA,NDA021086,Eli Lilly and Company,OLANZAPINE,5,mg/1,Atypical Antipsychotic [EPC],
0002-4454_fc834175-f01d-430f-9e61-3c7af669ba4b,0002-4454,HUMAN PRESCRIPTION DRUG,ZYPREXA,Zydis,Olanzapine,"TABLET, ORALLY DISINTEGRATING",ORAL,20000601,,NDA,NDA021086,Eli Lilly and Company,OLANZAPINE,10,mg/1,Atypical Antipsychotic [EPC],
0002-4455_fc834175-f01d-430f-9e61-3c7af669ba4b,0002-4455,HUMAN PRESCRIPTION DRUG,ZYPREXA,Zydis,Olanzapine,"TABLET, ORALLY DISINTEGRATING",ORAL,20010901,,NDA,NDA021086,Eli Lilly and Company,OLANZAPINE,15,mg/1,Atypical Antipsychotic [EPC],
0002-4456_fc834175-f01d-430f-9e61-3c7af669ba4b,0002-4456,HUMAN PRESCRIPTION DRUG,ZYPREXA,Zydis,Olanzapine,"TABLET, ORALLY DISINTEGRATING",ORAL,20010901,,NDA,NDA021086,Eli Lilly and Company,OLANZAPINE,20,mg/1,Atypical Antipsychotic [EPC],
0002-4462_a300bb97-176e-4771-8b31-3246d3f773f8,0002-4462,HUMAN PRESCRIPTION DRUG,Cialis,,Tadalafil,"TABLET, FILM COATED",ORAL,20031126,,NDA,NDA021368,Eli Lilly and Company,TADALAFIL,5,mg/1,"Phosphodiesterase 5 Inhibitor [EPC],Phosphodiesterase 5 Inhibitors [MoA]",
0002-4463_a300bb97-176e-4771-8b31-3246d3f773f8,0002-4463,HUMAN PRESCRIPTION DRUG,Cialis,,Tadalafil,"TABLET, FILM COATED",ORAL,20031126,,NDA,NDA021368,Eli Lilly and Company,TADALAFIL,10,mg/1,"Phosphodiesterase 5 Inhibitor [EPC],Phosphodiesterase 5 Inhibitors [MoA]",
0002-4464_a300bb97-176e-4771-8b31-3246d3f773f8,0002-4464,HUMAN PRESCRIPTION DRUG,Cialis,,Tadalafil,"TABLET, FILM COATED",ORAL,20031126,,NDA,NDA021368,Eli Lilly and Company,TADALAFIL,20,mg/1,"Phosphodiesterase 5 Inhibitor [EPC],Phosphodiesterase 5 Inhibitors [MoA]",
0002-4465_a300bb97-176e-4771-8b31-3246d3f773f8,0002-4465,HUMAN PRESCRIPTION DRUG,Cialis,,Tadalafil,"TABLET, FILM COATED",ORAL,20080107,,NDA,NDA021368,Eli Lilly and Company,TADALAFIL,2.5,mg/1,"Phosphodiesterase 5 Inhibitor [EPC],Phosphodiesterase 5 Inhibitors [MoA]",
0002-5121_dec2c4de-adab-42c6-a981-015a1a9be91b,0002-5121,HUMAN PRESCRIPTION DRUG,Effient,,Prasugrel hydrochloride,"TABLET, FILM COATED",ORAL,20090710,,NDA,NDA022307,Eli Lilly and Company,PRASUGREL HYDROCHLORIDE,5,mg/1,"Decreased Platelet Aggregation [PE],P2Y12 Platelet Inhibitor [EPC],P2Y12 Receptor Antagonists [MoA]",
0002-5123_dec2c4de-adab-42c6-a981-015a1a9be91b,0002-5123,HUMAN PRESCRIPTION DRUG,Effient,,Prasugrel hydrochloride,"TABLET, FILM COATED",ORAL,20090710,,NDA,NDA022307,Eli Lilly and Company,PRASUGREL HYDROCHLORIDE,10,mg/1,"Decreased Platelet Aggregation [PE],P2Y12 Platelet Inhibitor [EPC],P2Y12 Receptor Antagonists [MoA]",
0002-7140_a667f669-cd7e-4dc0-89b7-9be550b03b3c,0002-7140,HUMAN PRESCRIPTION DRUG,REOPRO,,abciximab,"INJECTION, SOLUTION",INTRAVENOUS,19931216,,BLA,BLA103575,Eli Lilly and Company,ABCIXIMAB,2,mg/mL,,
0002-7190_1742bd54-1adb-4528-9617-5a39f07dd957,0002-7190,HUMAN PRESCRIPTION DRUG,LARTRUVO,,olaratumab,"INJECTION, SOLUTION",INTRAVENOUS,20161019,,BLA,BLA761038,Eli Lilly and Company,OLARATUMAB,10,mg/mL,,
0002-7335_0fa2b681-937c-4f9b-a94b-dc11292bfd40,0002-7335,HUMAN PRESCRIPTION DRUG,HUMATROPE,,Somatropin,KIT,INTRAMUSCULAR; SUBCUTANEOUS,19870401,,NDA,NDA019640,Eli Lilly and Company,,,,,
0002-7501_ca20741b-2f42-40f2-90a7-7cb9e4ed22e0,0002-7501,HUMAN PRESCRIPTION DRUG,Gemzar,,Gemcitabine hydrochloride,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,19960515,,NDA,NDA020509,Eli Lilly and Company,GEMCITABINE HYDROCHLORIDE,200,mg/5mL,"Nucleic Acid Synthesis Inhibitors [MoA],Nucleoside Metabolic Inhibitor [EPC]",
0002-7502_ca20741b-2f42-40f2-90a7-7cb9e4ed22e0,0002-7502,HUMAN PRESCRIPTION DRUG,Gemzar,,Gemcitabine hydrochloride,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,19960515,,NDA,NDA020509,Eli Lilly and Company,GEMCITABINE HYDROCHLORIDE,1,g/25mL,"Nucleic Acid Synthesis Inhibitors [MoA],Nucleoside Metabolic Inhibitor [EPC]",
0002-7510_5b040825-3777-4cc2-a30a-34aa47a7b7d5,0002-7510,HUMAN PRESCRIPTION DRUG,Humalog,,Insulin lispro,"INJECTION, SOLUTION",INTRAVENOUS; SUBCUTANEOUS,19960614,,NDA,NDA020563,Eli Lilly and Company,INSULIN LISPRO,100,[iU]/mL,"Insulin [Chemical/Ingredient],Insulin Analog [EPC]",
0002-7511_ddb5903e-0eb4-4147-8a1b-afdae83f155f,0002-7511,HUMAN PRESCRIPTION DRUG,Humalog,Mix75/25,Insulin lispro,"INJECTION, SUSPENSION",SUBCUTANEOUS,19991222,,NDA,NDA021017,Eli Lilly and Company,INSULIN LISPRO,100,[iU]/mL,"Insulin [Chemical/Ingredient],Insulin Analog [EPC]",
0002-7512_cecf254f-646c-49ae-bc7e-80cff483c2c5,0002-7512,HUMAN PRESCRIPTION DRUG,Humalog,Mix50/50,Insulin lispro,"INJECTION, SUSPENSION",SUBCUTANEOUS,19991222,,NDA,NDA021018,Eli Lilly and Company,INSULIN LISPRO,100,[iU]/mL,"Insulin [Chemical/Ingredient],Insulin Analog [EPC]",
0002-7516_5b040825-3777-4cc2-a30a-34aa47a7b7d5,0002-7516,HUMAN PRESCRIPTION DRUG,Humalog,,Insulin lispro,"INJECTION, SOLUTION",INTRAVENOUS; SUBCUTANEOUS,19980220,,NDA,NDA020563,Eli Lilly and Company,INSULIN LISPRO,100,[iU]/mL,"Insulin [Chemical/Ingredient],Insulin Analog [EPC]",
0002-7597_fc834175-f01d-430f-9e61-3c7af669ba4b,0002-7597,HUMAN PRESCRIPTION DRUG,ZYPREXA,Intramuscular,Olanzapine,"INJECTION, POWDER, FOR SOLUTION",INTRAMUSCULAR,20040401,,NDA,NDA021253,Eli Lilly and Company,OLANZAPINE,10,mg/2mL,Atypical Antipsychotic [EPC],
0002-7623_79c88183-a5a1-48cb-85b0-e96f0d5e95ab,0002-7623,HUMAN PRESCRIPTION DRUG,Alimta,,Pemetrexed disodium,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,20040204,,NDA,NDA021462,Eli Lilly and Company,PEMETREXED DISODIUM HEPTAHYDRATE,500,mg/20mL,"Folate Analog Metabolic Inhibitor [EPC],Folic Acid Metabolism Inhibitors [MoA]",
0002-7635_30d4a0e1-0f38-450e-ba50-49d0b17e2c29,0002-7635,HUMAN PRESCRIPTION DRUG,ZYPREXA,Relprevv,Olanzapine pamoate,KIT,INTRAMUSCULAR,20091211,,NDA,NDA022173,Eli Lilly and Company,,,,,
0002-7636_30d4a0e1-0f38-450e-ba50-49d0b17e2c29,0002-7636,HUMAN PRESCRIPTION DRUG,ZYPREXA,Relprevv,Olanzapine pamoate,KIT,INTRAMUSCULAR,20091211,,NDA,NDA022173,Eli Lilly and Company,,,,,
0002-7637_30d4a0e1-0f38-450e-ba50-49d0b17e2c29,0002-7637,HUMAN PRESCRIPTION DRUG,ZYPREXA,Relprevv,Olanzapine pamoate,KIT,INTRAMUSCULAR,20091211,,NDA,NDA022173,Eli Lilly and Company,,,,,
0002-7640_79c88183-a5a1-48cb-85b0-e96f0d5e95ab,0002-7640,HUMAN PRESCRIPTION DRUG,Alimta,,Pemetrexed disodium,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,20070907,,NDA,NDA021462,Eli Lilly and Company,PEMETREXED DISODIUM HEPTAHYDRATE,100,mg/4mL,"Folate Analog Metabolic Inhibitor [EPC],Folic Acid Metabolism Inhibitors [MoA]",
0002-7669_82b47bfc-57e1-4299-a915-7a3003992b4b,0002-7669,HUMAN PRESCRIPTION DRUG,CYRAMZA,,ramucirumab,SOLUTION,INTRAVENOUS,20140421,,BLA,BLA125477,Eli Lilly and Company,RAMUCIRUMAB,10,mg/mL,"Vascular Endothelial Growth Factor Receptor 2 Antagonist [EPC],VEGFR2 Inhibitors [MoA]",
0002-7678_82b47bfc-57e1-4299-a915-7a3003992b4b,0002-7678,HUMAN PRESCRIPTION DRUG,CYRAMZA,,ramucirumab,SOLUTION,INTRAVENOUS,20140421,,BLA,BLA125477,Eli Lilly and Company,RAMUCIRUMAB,10,mg/mL,"Vascular Endothelial Growth Factor Receptor 2 Antagonist [EPC],VEGFR2 Inhibitors [MoA]",
0002-7712_5b040825-3777-4cc2-a30a-34aa47a7b7d5,0002-7712,HUMAN PRESCRIPTION DRUG,Humalog,KwikPen,Insulin lispro,"INJECTION, SOLUTION",SUBCUTANEOUS,20150526,,NDA,NDA205747,Eli Lilly and Company,INSULIN LISPRO,200,[iU]/mL,"Insulin [Chemical/Ingredient],Insulin Analog [EPC]",
0002-7714_5b040825-3777-4cc2-a30a-34aa47a7b7d5,0002-7714,HUMAN PRESCRIPTION DRUG,Humalog,Junior KwikPen,Insulin lispro,"INJECTION, SOLUTION",SUBCUTANEOUS,19960614,,NDA,NDA020563,Eli Lilly and Company,INSULIN LISPRO,100,[iU]/mL,"Insulin [Chemical/Ingredient],Insulin Analog [EPC]",
0002-7715_f28edb9a-75bd-4005-8c65-eefc64770124,0002-7715,HUMAN PRESCRIPTION DRUG,BASAGLAR,,Insulin glargine,"INJECTION, SOLUTION",SUBCUTANEOUS,20151216,,NDA,NDA205692,Eli Lilly and Company,INSULIN GLARGINE,100,[iU]/mL,"Insulin [Chemical/Ingredient],Insulin Analog [EPC]",
0002-7716_62de9272-71de-4b81-8ccf-ad7806f02081,0002-7716,HUMAN PRESCRIPTION DRUG,Portrazza,,necitumumab,SOLUTION,INTRAVENOUS,20151124,,BLA,BLA125547,Eli Lilly and Company,NECITUMUMAB,16,mg/mL,"Epidermal Growth Factor Receptor Antagonist [EPC],HER1 Antagonists [MoA]",
0002-7724_2ecde4c5-5128-4725-9cf5-64384857eb1c,0002-7724,HUMAN PRESCRIPTION DRUG,TALTZ,,ixekizumab,"INJECTION, SOLUTION",SUBCUTANEOUS,20160322,,BLA,BLA125521,Eli Lilly and Company,IXEKIZUMAB,80,mg/mL,"Interleukin-17A Antagonist [EPC],Interleukin-17A Antagonists [MoA]",
0002-8031_b2922f8a-c8d3-4360-b2f6-ed46f0b00a88,0002-8031,HUMAN PRESCRIPTION DRUG,Glucagon,,glucagon,KIT,,19990301,,NDA,NDA020928,Eli Lilly and Company,,,,,
0002-8147_0fa2b681-937c-4f9b-a94b-dc11292bfd40,0002-8147,HUMAN PRESCRIPTION DRUG,HUMATROPE,,Somatropin,KIT,INTRAMUSCULAR; SUBCUTANEOUS,20060127,,NDA,NDA019640,Eli Lilly and Company,,,,,
0002-8148_0fa2b681-937c-4f9b-a94b-dc11292bfd40,0002-8148,HUMAN PRESCRIPTION DRUG,HUMATROPE,,Somatropin,KIT,INTRAMUSCULAR; SUBCUTANEOUS,20060127,,NDA,NDA019640,Eli Lilly and Company,,,,,
0002-8149_0fa2b681-937c-4f9b-a94b-dc11292bfd40,0002-8149,HUMAN PRESCRIPTION DRUG,HUMATROPE,,Somatropin,KIT,INTRAMUSCULAR; SUBCUTANEOUS,20060127,,NDA,NDA019640,Eli Lilly and Company,,,,,
0002-8215_08827443-2aa4-4cd9-9657-64a52085fd83,0002-8215,HUMAN OTC DRUG,Humulin,R,Insulin human,"INJECTION, SOLUTION",PARENTERAL,19830627,,NDA,NDA018780,Eli Lilly and Company,INSULIN HUMAN,100,[iU]/mL,,
0002-8315_96565fb7-dbd9-4048-96a7-73e9c3626f6e,0002-8315,HUMAN OTC DRUG,Humulin,N,Insulin human,"INJECTION, SUSPENSION",SUBCUTANEOUS,19830627,,NDA,NDA018781,Eli Lilly and Company,INSULIN HUMAN,100,[iU]/mL,,
0002-8400_4d0a0023-d348-41dd-a689-43971e41d26f,0002-8400,HUMAN PRESCRIPTION DRUG,Forteo,,Teriparatide,"INJECTION, SOLUTION",SUBCUTANEOUS,20021126,,NDA,NDA021318,Eli Lilly and Company,TERIPARATIDE,250,ug/mL,"Parathyroid Hormone [Chemical/Ingredient],Parathyroid Hormone Analog [EPC]",
0002-8501_78d3163c-1688-4a57-9d91-61b0a5f1a7f4,0002-8501,HUMAN PRESCRIPTION DRUG,Humulin,R U-500,Insulin human,"INJECTION, SOLUTION",SUBCUTANEOUS,19940331,,NDA,NDA018780,Eli Lilly and Company,INSULIN HUMAN,500,[iU]/mL,"Insulin [Chemical/Ingredient],Insulin [EPC]",
0002-8715_adccb1d5-7fb9-48d1-8dd9-e2a0a6a8a735,0002-8715,HUMAN OTC DRUG,Humulin,70/30,Insulin human,"INJECTION, SUSPENSION",SUBCUTANEOUS,19890626,,NDA,NDA019717,Eli Lilly and Company,INSULIN HUMAN,100,[iU]/mL,,
0002-8797_ddb5903e-0eb4-4147-8a1b-afdae83f155f,0002-8797,HUMAN PRESCRIPTION DRUG,Humalog,Mix75/25 KwikPen,Insulin lispro,"INJECTION, SUSPENSION",SUBCUTANEOUS,20070906,,NDA,NDA021017,Eli Lilly and Company,INSULIN LISPRO,100,[iU]/mL,"Insulin [Chemical/Ingredient],Insulin Analog [EPC]",
0002-8798_cecf254f-646c-49ae-bc7e-80cff483c2c5,0002-8798,HUMAN PRESCRIPTION DRUG,Humalog,Mix50/50 KwikPen,Insulin lispro,"INJECTION, SUSPENSION",SUBCUTANEOUS,20070906,,NDA,NDA021018,Eli Lilly and Company,INSULIN LISPRO,100,[iU]/mL,"Insulin [Chemical/Ingredient],Insulin Analog [EPC]",
0002-8799_5b040825-3777-4cc2-a30a-34aa47a7b7d5,0002-8799,HUMAN PRESCRIPTION DRUG,Humalog,KwikPen,Insulin lispro,"INJECTION, SOLUTION",INTRAVENOUS; SUBCUTANEOUS,20070906,,NDA,NDA020563,Eli Lilly and Company,INSULIN LISPRO,100,[iU]/mL,"Insulin [Chemical/Ingredient],Insulin Analog [EPC]",
